ImageIndex,record_id,processid,specimen_identifiers,identification_method,phylum,class,order,family,genus,species,sex,lifestage,lat,lon,site_code,caption,media_descriptor,image_file,copyright_institution,photographer
ImgIndex_0498,7009990,CRICO331-16,NID-N1373,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,40.8678,-96.8103,,Female midbody,Midbody,http://www.boldsystems.org/pics/CRICO/NID1373_4+1523995610.jpg,University of Nebraska,Tom Powers
ImgIndex_0499,7009990,CRICO331-16,NID-N1373,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,40.8678,-96.8103,,Female entire body,Entire body,http://www.boldsystems.org/pics/CRICO/NID1373_1+1523995256.jpg,University of Nebraska,Tom Powers
ImgIndex_0500,7009990,CRICO331-16,NID-N1373,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,40.8678,-96.8103,,Female head with lip region and stylet,Head,http://www.boldsystems.org/pics/CRICO/NID1373_2+1523995484.jpg,University of Nebraska,Tom Powers
ImgIndex_0501,7009990,CRICO331-16,NID-N1373,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema inaratum,F,Adult,40.8678,-96.8103,,Female tail with vulva,Tail,http://www.boldsystems.org/pics/CRICO/NID1373_3+1523995562.jpg,University of Nebraska,Tom Powers
ImgIndex_0502,7009991,CRICO332-16,NID-N1374,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema nebraskense,F,Adult,40.8678,-96.8103,,Female head with lip region and stylet,Head,http://www.boldsystems.org/pics/CRICO/NID1374_2+1523996438.jpg,University of Nebraska,Tom Powers
ImgIndex_0503,7009991,CRICO332-16,NID-N1374,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema nebraskense,F,Adult,40.8678,-96.8103,,Female entire body,Entire body,http://www.boldsystems.org/pics/CRICO/NID1374_1+1523996316.jpg,University of Nebraska,Tom Powers
ImgIndex_0504,7009991,CRICO332-16,NID-N1374,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema nebraskense,F,Adult,40.8678,-96.8103,,Female tail with vulva,Tail,http://www.boldsystems.org/pics/CRICO/NID1374_3+1523996468.jpg,University of Nebraska,Tom Powers
ImgIndex_0505,7009993,CRICO334-16,NID-N1378,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema nebraskense,F,Adult,40.8678,-96.8103,,Female entire body,Entire body,http://www.boldsystems.org/pics/CRICO/NID1378_1+1523997404.jpg,University of Nebraska,Tom Powers
ImgIndex_0506,7009993,CRICO334-16,NID-N1378,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema nebraskense,F,Adult,40.8678,-96.8103,,Female head with lip region and stylet,Head,http://www.boldsystems.org/pics/CRICO/NID1378_2+1523997510.jpg,University of Nebraska,Tom Powers
ImgIndex_0507,7009993,CRICO334-16,NID-N1378,,Nematoda,Chromadorea,Tylenchida,Criconematidae,Mesocriconema,Mesocriconema nebraskense,F,Adult,40.8678,-96.8103,,Female tail with vulva,Tail,http://www.boldsystems.org/pics/CRICO/NID1378_3+1523997464.jpg,University of Nebraska,Tom Powers
