Reference,Species,Confirmation,n,type,LGT (mm),a,b,b',c,c',V,T,STY μm,spicules,gubernaculum,DHV,STA,m,DGO,BBE,OVI,OGO,EXPO,DVU,ANW,LFW,TAIL,DAN,ANT,FRW,ANP,PRO,HAB,ANL,LIP,INC,TSH,KBS,APR,Tipann,Vann,ARO
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus coffeae (Zimmermann, 1898) Filipjev & Schuurmans Stekhoven, 1941","Inserra et al., 2001",20,females,0.60,28.7,6.7,,20.9,,81.0,,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus coffeae (Zimmermann, 1898) Filipjev & Schuurmans Stekhoven, 1941","Inserra et al., 2001",20,males,0.59,30.8,6.7,,21.8,,,43.0,15.0,17.5,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus convallariae Seinhorst, 1959","Seinhorst, 1959",,Female holotype,0.62,31.0,7.0,,24.0,,81.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus convallariae Seinhorst, 1959","Seinhorst, 1959",10,females,0.60,25.0,7.5,,22.5,,79.5,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus convallariae Seinhorst, 1959","Seinhorst, 1959",10,males,0.54,31.5,8.2,,21.5,,,38.0,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus convallariae Seinhorst, 1959","Loof, 1960",51,females,0.50,25.5,6.6,,20.0,,78.5,,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus convallariae Seinhorst, 1959","Loof, 1960",14,males,0.45,29.0,5.8,,19.5,,,45.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus convallariae Seinhorst, 1959","Brzeski & Sczcygiel, 1977",20,females,0.54,29.0,6.8,,18.0,2.2,79.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus convallariae Seinhorst, 1959","Brzeski & Sczcygiel, 1977",10,males,0.50,34.0,6.3,,21.0,,,,16.5,15.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus convallariae Seinhorst, 1959","Ryss, 1988",4,females,0.53,27.0,6.6,,18.0,2.1,79.0,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus crassi Das & Sultana, 1979","Das & Sultana, 1979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007","Pratylenchus crassi Das & Sultana, 1979","Das & Sultana, 1979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRATYLENCHUS (NEMATODA: PRATYLENCHIDAE): DIAGNOSIS BIOLOGY, PATHOGENICITY AND MANAGEMENT, Pablo Castillo and Nicola Vovlas 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
