Genus,Species Count
Rhinocerotonema,1
Skladnikia,1
Strongylus,14
Triodontophorus,9
Tziminema,0
Wuia,1
Zebrincola,3
Alocostoma,2
Caballonema,1
Coronocyclus,6
Cyathostomum,32
Cylicocyclus,18
Cylicodontophorus,8
Cylicostephanus,15
Cylindropharynx,7
Gyalocephalus,1
Hsiungia,1
Petrovinema,2
Poteriostomum,3
Tridentoinfundibulum,3
Eucyathostomum,6
Kiluluma,15
Khalilia,4
Murshidia,30
Neomurshidia,19
Quilonia,17
Theileriana,21
Chapiniella,4
Sauricola,1
Archeostrongylus,19
Stephanurus,19
Boydinema,1
Cyathostoma,18
Mammomonogamus,6
Rodentogamus,1
Syngamus,13
Agriostomum,5
Castorstrongylus,1
Chabertia,7
Colobostrongylus,2
Cyclodontostomum,3
Neorhabditostomum,1
Okapistrongylus,1
Paralabiostrongylus,5
Pharyngostrongylus,18
Ransomus,2
Schulzinema,1
Ternidens,1
Tethystrongylus,1
Thallostonema,6
Wallabinema,26
