ImageName,Gender,General,Descr,Detail,KeyArea,Magnification,Location,Host,Species,ScientificName_accepted,ScientificName,Class,Order,Family,Genus
https://nematode.unl.edu/parpl3.jpg,juvenile,,,lateral field,,1000X,,Big bluestem,Paraplectonema,,,,,,
https://nematode.unl.edu/parpl4.jpg,juvenile,,,tail,,1000X,,Big bluestem,Paraplectonema,,,,,,
https://nematode.unl.edu/metatera1.jpg,juvenile,,,anterior,,400x,"Jumbo Valley, fen (unique wetland type), Cherry County, Nebraska",,Metateratocephalus,,,,,,
https://nematode.unl.edu/metatera2.jpg,juvenile,,,tail,,400x,"Jumbo Valley, fen (unique wetland type), Cherry County, Nebraska",,Metateratocephalus,,,,,,
https://nematode.unl.edu/metatera3.jpg,juvenile,,,head,Anterior,400x,"Jumbo Valley, fen (unique wetland type), Cherry County, Nebraska",,Metateratocephalus,,,,,,
https://nematode.unl.edu/anagsma1.jpg,male,,,body,,400X,"Great Smoky Mountains National Park, Tennessee",,Anaplectus,,,,,,
https://nematode.unl.edu/anagsma2.jpg,male,,,anterior,,1000X,"Great Smoky Mountains National Park, Tennessee",,Anaplectus,,,,,,
https://nematode.unl.edu/anagsma3.jpg,male,,,amphid,Anterior,1000X,"Great Smoky Mountains National Park, Tennessee",,Anaplectus,,,,,,
https://nematode.unl.edu/anagsma4.jpg,male,,,lateral field,,1000X,"Great Smoky Mountains National Park, Tennessee",,Anaplectus,,,,,,
https://nematode.unl.edu/anagsma5.jpg,male,,,posterior,,1000X,"Great Smoky Mountains National Park, Tennessee",,Anaplectus,,,,,,
https://nematode.unl.edu/anagsma6.jpg,male,,,lateral pores,,1000X,"Great Smoky Mountains National Park, Tennessee",,Anaplectus,,,,,,
https://nematode.unl.edu/anapha1.jpg,juvenile,,,head,Anterior,400X,"Haughton impact crater, Devon Island, Nunavut",,Anaplectus,,,,,,
https://nematode.unl.edu/anapha10.jpg,female,,,tail,,400X,"Haughton impact crater, Devon Island, Nunavut",,Anaplectus,,,,,,
https://nematode.unl.edu/anapha11.jpg,female,,,amphid,Anterior,1000X,"Haughton impact crater, Devon Island, Nunavut",,Anaplectus,,,,,,
https://nematode.unl.edu/anapha12.jpg,female,,,lateral field,,1000X,"Haughton impact crater, Devon Island, Nunavut",,Anaplectus,,,,,,
https://nematode.unl.edu/anapha13.jpg,juvenile,,,head,Anterior,400X,"Haughton impact crater, Devon Island, Nunavut",,Anaplectus,,,,,,
https://nematode.unl.edu/anapha14.jpg,juvenile,,,tail,,400X,"Haughton impact crater, Devon Island, Nunavut",,Anaplectus,,,,,,
https://nematode.unl.edu/anapha2.jpg,juvenile,,,tail,,400X,"Haughton impact crater, Devon Island, Nunavut",,Anaplectus,,,,,,
https://nematode.unl.edu/anapha3.jpg,juvenile,,,head,Anterior,1000X,"Haughton impact crater, Devon Island, Nunavut",,Anaplectus,,,,,,
https://nematode.unl.edu/anapha4.jpg,juvenile,,,basal bulb,,1000X,"Haughton impact crater, Devon Island, Nunavut",,Anaplectus,,,,,,
https://nematode.unl.edu/anapha5.jpg,juvenile,,,head,Anterior,400X,"Haughton impact crater, Devon Island, Nunavut",,Anaplectus,,,,,,
https://nematode.unl.edu/anapha6.jpg,juvenile,,,tail,,400X,"Haughton impact crater, Devon Island, Nunavut",,Anaplectus,,,,,,
https://nematode.unl.edu/anapha7.jpg,female,,,body,,100X,"Haughton impact crater, Devon Island, Nunavut",,Anaplectus,,,,,,
